,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
6948584229899078406,05/04/21,Too late posted and forgot to add OG music sorry,ishiniw,False,11,,0,162000,245413426770923520,ishiniw,ishiniw,1498882635,False,MS4wLjABAAAAqa32m1SvraN1U7CZA0t4wMU-N9QJVmFHoIDQbAwaflHy80_SkiLy2KN_r5D91UpC,0,False,0,0,0,False
6896897026315864833,05/04/21,popstar,am back-,False,15,,0,15000,6896085823394628610,lmfao.im.back,am back-,1605620254,False,MS4wLjABAAAAt3NZApEDoOVpJnh6PhkcCTxN2p3WCTAB9SH9wNonxsl46XjWIYhIkA5_f9ESOnHl,0,False,0,0,0,False
6605649335042444037,05/04/21,Almost there,Cayden🏙,False,112,lil.lit_editz,0,266300,6594464443668234246,therealdemski,Cayden🏙,1535673464,False,MS4wLjABAAAAa5WCfH2PbNnIw3xJzjVuB-Gq7bnUGmGSlMBiDkISftIuvygZ9d1qUfizSycEm9Eb,0,False,0,0,0,False
6958118933903756037,05/04/21,son original,nytiss,False,57,,0,1113,6839966663757480965,nytiss,nytiss,1592526905,False,MS4wLjABAAAAXRpF8zqY1KUb7LtldY6Qdx7R25Fhdxvu60_Rxqwm6HBP741LSRnK3NRWsSZz3RdO,0,False,0,0,0,False
6939824753008003841,05/04/21,8D,꧁👑นนท์ ตี้👑꧂,False,26,,0,100900,6856025362734023681,nontynine09,꧁👑นนท์ ตี้👑꧂,1596293002,False,MS4wLjABAAAAUGR7_EPQ9J9JUTf6hPYVmaXOqL9phEuR71OMofQOE5-_GaV1zTTIUA_l4qJ5XivK,0,False,0,0,0,False
6708008838341135110,05/04/21,sailorj contouring 101 on youtube,skeet,False,59,,0,22300,17427948,skylerbaylie,skeet,1448374665,False,MS4wLjABAAAAxo_Xgj6uzCa7NVuhSh2CI64Fm-Dxb_MSto9Z7ZP65vg,0,False,0,0,0,False
6807984440287955717,05/04/21,how would they know bad girls club,Chris Gleason,False,22,,0,228300,6761450355433620486,cgleason22,Chris Gleason,1575025164,False,MS4wLjABAAAAxHjxJyDymtiYiXfPMemEGWnvbM_fy2buVDGSRLx9wvcqzoTjAWgO3IV62WwFYgOJ,0,False,0,0,0,False
6952090282762570502,05/04/21,son original,user9152689813937,False,8,,0,994,6899951894245295110,zacbertrand,user9152689813937,1606520574,False,MS4wLjABAAAAnyu_W-tem7TVkdrilr5doim7k24i1y8SuxZRlpNCidZrpX9Qg6XeFmgZ_SEreVeT,0,False,0,0,0,False
6953002139056622342,05/04/21,mmm sheeesh,gracyyyy,False,10,,0,12900,6546279692617416709,gracy1013,gracyyyy,1564971740,False,MS4wLjABAAAA47hQMWUzUBTajHo05Qn21e6Fke6Ekc87mz62sI3-1Rd81fMv92id3wGUm85NmPDP,0,False,0,1,1,False
6872420298566781697,05/04/21,If u see this follow or have bad luck for ever xD,Xanime [アイ],False,42,,0,51200,6862782756599055365,x__anime,Xanime [アイ],1597866206,False,MS4wLjABAAAAyFCV1Re-nivPdQlTeI8gNLwrmKgfRmzyWp6u4slB4Ltk8eDVzQQv3X6dfBosZBmO,0,False,0,0,0,False
6897210916509599745,05/04/21,Oh No Oh No Oh No No No,Dubskie,False,60,Oh No Oh No Oh No No No,0,422200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6705024400694970369,05/04/21,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,False,60,The Heist,0,4114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
